"location_actividad","tags_categorias_actividades","name_actividad"
"-78.51617,-0.221229","Museos especializados,Museos","Casa del Alabado"
"-78.46905,-0.190467","Museos de arte,Museos","Guayasamin Museum"
"-78.46931,-0.190091","Museos especializados,Museos","La Capilla Del Hombre"
"-78.48103,0.023238","Museos de historia,Museos","Museo Templo del Sol Pintor Ortega Maila"
",","Tours turisticos,Taxis y otros servicios de traslado,Transporte,Tours","Ecuador a Color"
"-78.49302,-0.206506","Transporte en autobus,Transporte","Terminal Terrestre Quitumbe"
"-78.480354,-0.181724","Ferris,Transporte","Ocean Adventures"
",","Tranvias,Transporte","Teleferico de Quito"
",","Transporte en autobus,Transporte","Transporte Publico en Quito"
",","Ferrocarriles,Transporte","Tren de la Dulzura"
"-78.43585,-1.39929","Transporte en autobus,Taxis y otros servicios de traslado,Transporte","Ambaturismo C.A."
"-78.48092,-0.187719","Taxis y otros servicios de traslado,Transporte","Quito Airport Shuttle"
"-89.612175,-0.905582","Ferris,Transporte","Galapagos Transfers - CERRADO TEMPORARIAMENTE"
",","Ferrocarriles,Transporte","Tren Ecuador"
"-78.53731,-0.186683","Tranvias,Transporte","Teleferico Quito"
",","Mas zoologicos y acuarios,Zoologicos y acuarios","Acurio Turistico de MIndo"
",","Acuarios,Zoologicos y acuarios,Naturaleza y parques","Acuario Amazonas"
",","Naturaleza y parques,Actividades al aire libre,Zoologicos y acuarios","Asilo de la Paz"
"-80.863495,-2.219503","Mas zoologicos y acuarios,Zoologicos y acuarios","Acuario Valdivia"
"-77.98649,-1.495679","Areas de naturaleza y vida silvestre,Actividades al aire libre,Zoologicos y acuarios,Naturaleza y parques","Fundacion Los Monos Selva y Vida"
"-78.48604,-0.178026","Mas zoologicos y acuarios,Zoologicos y acuarios","Vivarium"
",","Actividades al aire libre,Zoologicos y acuarios,Naturaleza y parques","Zoo El Arca"
"-78.010124,-1.498509","Naturaleza y parques,Actividades al aire libre,Zoologicos y acuarios","Zoorefugio Tarqui"
"-78.35681,-0.071433","Zoologicos y acuarios,Actividades al aire libre,Naturaleza y parques","Zoologico de Quito"
",","Naturaleza y parques,Zoologicos y acuarios,Actividades al aire libre","Zoologico de Guayllabamba"
"-79.93512,-2.104054","Zoologicos y acuarios,Actividades al aire libre,Naturaleza y parques","El Pantanal"
",","Zoologicos y acuarios,Actividades al aire libre,Naturaleza y parques","Zoologico de San Martin"
"-77.61242,-1.188666","Zoologicos y acuarios,Actividades al aire libre,Naturaleza y parques","Amazoonico Animal Rescue Centre"
"-78.953384,-2.897622","Areas de naturaleza y vida silvestre,Zoologicos y acuarios,Naturaleza y parques,Actividades al aire libre","Amaru Zoologica"
"-90.973595,-0.947319","Mas zoologicos y acuarios,Zoologicos y acuarios","Centro de Crianza Arnaldo Tupiza"
"-79.88323,-2.194808","Zoologicos y acuarios,Actividades al aire libre,Naturaleza y parques","Parque de las Iguanas"
"-78.47995,-0.174921","Juegos de escape,Diversion y juegos","Xcape"
"-79.87943,-2.191865","Cines,Diversion y juegos","Cinema Malecon"
"-78.47636,-0.16928","Cines,Diversion y juegos","Supercines"
"-79.89111,-2.171087","Cines,Diversion y juegos","Supercines San Marino"
"-78.447266,-0.008143","Centros de juego y entretenimiento,Campos de tiro,Diversion y juegos","CQB Paintball"
",","Monumentos y lugares de interes,Complejos deportivos,Atracciones y lugares de interes,Diversion y juegos","Cumanda Parque Urbano"
",","Rutas para ciclismo,Parques,Diversion y juegos,Actividades al aire libre,Naturaleza y parques","Mundo San Rafael"
",","Centros de juego y entretenimiento,Diversion y juegos","Paintballpaute"
"-80.734085,-0.944855","Mas opciones de juego y diversion,Diversion y juegos","Sensation"
",","Centros de juego y entretenimiento,Diversion y juegos","Play Zone"
"-78.475784,-0.186815","Juegos de escape,Diversion y juegos","Reto Eureka"
",","Cines,Diversion y juegos","Supercines"
",","Plazas,Parques,Diversion y juegos,Naturaleza y parques","El Arbolito Park"
",","Mas opciones de juego y diversion,Diversion y juegos","Futbol Aventura"
",","Mas opciones de juego y diversion,Diversion y juegos","Parque Acuatico - Araque"
"-78.485535,-0.175944","Cines,Diversion y juegos","Multicines"
"-78.489174,-0.184245","Juegos de escape,Diversion y juegos","EscapaYa"
"-79.90207,-2.158811","Mas opciones de juego y diversion,Diversion y juegos","Chivas Farreras"
",","Mas opciones de juego y diversion,Diversion y juegos","D Cameron Mompiche"
"-78.650986,-1.24271","Mas opciones de juego y diversion,Diversion y juegos","Parque Provincial de la Familia"
"-78.479996,-0.174822","Juegos de escape,Diversion y juegos","Xcape Juegos de Escape"
"-78.47244,-0.179632","Juegos de escape,Diversion y juegos","Room Escape UIO"
"-79.91358,-2.172179","Juegos de escape,Diversion y juegos","Escapology Guayaquil"
"-78.42625,-1.415848","Mas opciones de juego y diversion,Diversion y juegos","Casa Del Arbol"
"-78.4982,-0.189984","Spas y centros de bienestar","Shambhala Spa"
"-79.898315,-2.162237","Spas y centros de bienestar","Aqua Vita Spa Centro Estetico"
",","Spas y centros de bienestar","Zenia Spa"
"-78.42006,-1.400924","Clubs de salud/entrenamiento y gimnasios,Spas y centros de bienestar","Eduardo's Ecologia & Aventura"
"-79.029396,-2.894003","Spas y centros de bienestar","Massage Cuenca"
"-78.46966,-0.285965","Banos turcos,Spas y centros de bienestar","Cascada Spa Ecuador"
"-78.48989,-0.157907","Spas y centros de bienestar","Equilibrium"
"-78.43689,-1.404526","Spas y centros de bienestar","Prana Spa"
",","Spas y centros de bienestar","Normandia Spa"
",","Yoga y pilates,Spas y centros de bienestar","Vrindavan Eco Yoga Farm"
",","Spas termales,Spas y centros de bienestar","Termas Chachimbiro Arco Iris"
"-78.195175,0.200262","Yoga y pilates,Tours a caballo,Spas y centros de bienestar,Actividades al aire libre","4 Volcanoes Ranch"
",","Yoga y pilates,Spas y centros de bienestar","Hosteria Izhcayluma Spa"
"-78.42243,-1.398632","Spas y centros de bienestar","Huellas Natural Spa"
",","Spas y centros de bienestar","Mauli Spa"
",","Spas y centros de bienestar","Massage Montanita"
"-78.41867,-1.399377","Spas y centros de bienestar","Stay in Touch Massage"
"-78.423004,-1.399854","Spas y centros de bienestar","Yerba linda Spa y Masajes"
"-78.42205,-1.398578","Spas y centros de bienestar","Chakra Massages"
"-79.062126,-2.922633","Spas y centros de bienestar","Novaqua Spa"
",","Spas y centros de bienestar","Centre Devas"
",","Spas y centros de bienestar","La Playita"
"-80.45731,-0.461643","Yoga y pilates,Surf, windsurf y kitesurf,Actividades al aire libre,Tours en barco y deportes acuaticos,Tours,Spas y centros de bienestar","Betty Surf and Yoga"
",","Spas y centros de bienestar","JADE SPA"
",","Fuentes termales y geiseres,Naturaleza y parques,Spas y centros de bienestar","Las Piscinas de la Virgen"
"-79.0636,-2.92183","Banos turcos,Spas y centros de bienestar","Piedra de Agua Fuente Termal & Spa"
",","Spas y centros de bienestar","El Refugio Spa Garden"
"-78.13408,-0.343664","Fuentes termales y geiseres,Naturaleza y parques,Spas y centros de bienestar","Termas de Papallacta"
",","Tiendas especializadas y de regalos,Compras","Mercado Indigena"
"-79.01283,-2.894733","Galerias de arte,Museos,Compras","Art Cuenca"
"-78.478775,-0.158265","Centros comerciales,Compras","Scala Shopping"
",","Tiendas especializadas y de regalos,Compras","La Casa de la Makana"
",","Tiendas especializadas y de regalos,Compras","Tahuantinsuyo Weaving Workshop"
"-78.71068,-1.933161","Tiendas especializadas y de regalos,Compras","Market Guamote"
"-78.49297,-0.202896","Tiendas especializadas y de regalos,Compras","Galeria Latina"
",","Tiendas especializadas y de regalos,Compras","Mercado Inaquito"
"-79.00499,-2.897059","Tiendas especializadas y de regalos,Compras","Maki FairTrade"
",","Galerias de arte,Compras,Museos","Maki-Art Gallery"
"-78.503654,-0.227557","Galerias de arte,Museos,Compras","Centro Cultural Itchimbia"
"-78.485535,-0.175944","Centros comerciales,Compras","Quicentro Shopping"
"-78.99955,-2.900177","Tiendas especializadas y de regalos,Compras","Galapagos Artesanias"
"-78.49001,-0.203374","Tiendas especializadas y de regalos,Compras","English Bookstore"
"-79.88054,-2.185002","Tiendas especializadas y de regalos,Compras","Mercado Artesanal"
"-79.00165,-2.903354","Tiendas especializadas y de regalos,Compras","Mercado 10 De Agosto"
"-78.490036,-0.202304","Tiendas especializadas y de regalos,Compras","Galeria Ecuador"
",","Mercados de pulgas y callejeros,Monumentos y lugares de interes,Atracciones y lugares de interes,Compras","Plaza Civica"
",","Centros comerciales,Compras","Mall Del Sol"
",","Tiendas especializadas y de regalos,Compras","Ecua-Andino Hats"
"-78.48418,-0.202925","Tiendas especializadas y de regalos,Compras","Olga Fisch Folklore"
"-90.3106,-0.742469","Galerias de arte,Museos,Compras","Galeria Aymara"
"-78.26202,0.229506","Tiendas especializadas y de regalos,Compras","Plaza De Los Ponchos Mercado"
"-79.01014,-2.92378","Galerias de arte,Compras,Museos","Ceramica Vega"
"-79.00692,-2.900345","Museos especializados,Tiendas especializadas y de regalos,Compras,Museos","Barrancos Panama Hats"
"-78.495125,-0.207069","Tiendas especializadas y de regalos,Compras","Mercado Artesanal La Mariscal"
"-79.878685,-2.100797","Tiendas especializadas y de regalos,Compras","Plaza Lagos"
"-78.99293,-2.891254","Galerias de arte,Museos especializados,Museos,Compras","Homero Ortega"
"-78.26201,0.229797","Mercados de pulgas y callejeros,Compras","Otavalo Market"
",","Mas opciones gastronomicas,Comida y bebida","Relicario lomos&brasa"
",","Tours gastronomicos,Comida y bebida,Tours","Galapagos Foodie"
",","Tours gastronomicos,Tours,Comida y bebida","Asociocion Winak"
"-79.005554,-2.900969","Cervecerias,Comida y bebida","Becken Cerveza"
",","Mercados de agricultores,Comida y bebida,Compras","Mercado 24 de Mayo"
"-78.61028,-0.934674","Bares y discotecas,Bares de vinos,Comida y bebida,Vida nocturna","El Quijote"
",","Mercados de agricultores,Comida y bebida,Compras","Mercad de Santa Clara"
"-78.512024,-0.22067","Tours gastronomicos,Tours,Comida y bebida","Pacari Chocolate Ecuador"
",","Mercados de agricultores,Mercados de pulgas y callejeros,Comida y bebida,Compras","Weekly Market"
"-78.141525,0.040979","Mas opciones gastronomicas,Comida y bebida","Fabrica de Bizcochos de Don Pedro."
"-80.025566,-2.188325","Tours gastronomicos,Comida y bebida,Tours","El Castillo Chocolate Farm"
"-78.49385,-0.20386","Tours gastronomicos,Tours por la ciudad,Comida y bebida,Tours,Actividades al aire libre","Intisamay Tours"
"-79.20411,-3.996417","Mercados de agricultores,Mercados de pulgas y callejeros,Comida y bebida,Compras","Mercado Centro Comercial Loja"
"-79.00249,-2.902657","Tours a pie,Tours gastronomicos,Tours,Comida y bebida","Experience Cuenca Ecuador"
"-78.47931,-0.195802","Tours gastronomicos,Tours culturales,Comida y bebida,Tours","Urban Adventures Quito"
"-78.77402,-0.051006","Tours gastronomicos,Tours,Comida y bebida","El Quetzal de Mindo Chocolate Tour"
",","Tours a pie,Tours gastronomicos,Comida y bebida,Tours","Community Adventures"
"-78.11942,0.350078","Bares y discotecas,Vida nocturna","Tsunami Club"
"-80.72993,-0.945387","Bares y discotecas,Vida nocturna","Molotov Rock Bar Manta"
"-80.96778,-2.205663","Bares y discotecas,Vida nocturna","The Aloha Bar"
"-78.48414,-0.167131","Bares y discotecas,Bares de karaoke,Vida nocturna","Friends Corner"
"-79.94118,-3.277689","Discotecas y clubes de baile,Vida nocturna","UP By Lua"
